graph,beta,r,round,active,new,new_local,new_global,new_both
beta=2.1,2.1,30,0,1,1,1,0,0
beta=2.1,2.1,30,1,5,4,4,0,0
beta=2.1,2.1,30,2,13,8,8,0,0
beta=2.1,2.1,30,3,25,12,12,0,0
beta=2.1,2.1,30,4,41,16,16,0,0
beta=2.1,2.1,30,5,92,51,20,31,0
beta=2.1,2.1,30,6,58547,58455,84,58364,7
beta=2.1,2.1,30,7,774763,716216,1000,703785,11431
beta=2.1,2.1,30,8,987876,213113,19396,52433,141284
beta=2.1,2.1,30,9,999989,12113,10923,3,1187
beta=2.1,2.1,30,10,1000000,11,11,0,0
beta=2.5,2.5,30,0,1,1,1,0,0
beta=2.5,2.5,30,1,5,4,4,0,0
beta=2.5,2.5,30,2,13,8,8,0,0
beta=2.5,2.5,30,3,25,12,12,0,0
beta=2.5,2.5,30,4,41,16,16,0,0
beta=2.5,2.5,30,5,62,21,20,1,0
beta=2.5,2.5,30,6,91,29,28,1,0
beta=2.5,2.5,30,7,129,38,37,0,1
beta=2.5,2.5,30,8,179,50,45,4,1
beta=2.5,2.5,30,9,301,122,61,60,1
beta=2.5,2.5,30,10,28777,28476,136,28267,73
beta=2.5,2.5,30,11,862833,834056,1020,824542,8494
beta=2.5,2.5,30,12,1000000,137167,59,7729,129379
beta=2.7,2.7,30,0,1,1,1,0,0
beta=2.7,2.7,30,1,5,4,4,0,0
beta=2.7,2.7,30,2,13,8,8,0,0
beta=2.7,2.7,30,3,25,12,12,0,0
beta=2.7,2.7,30,4,41,16,16,0,0
beta=2.7,2.7,30,5,61,20,20,0,0
beta=2.7,2.7,30,6,86,25,24,1,0
beta=2.7,2.7,30,7,118,32,31,0,1
beta=2.7,2.7,30,8,161,43,40,3,0
beta=2.7,2.7,30,9,224,63,53,9,1
beta=2.7,2.7,30,10,435,211,79,129,3
beta=2.7,2.7,30,11,18496,18061,212,17659,190
beta=2.7,2.7,30,12,604685,586189,1010,578365,6814
beta=2.7,2.7,30,13,1000000,395315,306,171274,223735
beta=3.0,3.0,30,0,1,1,1,0,0
beta=3.0,3.0,30,1,5,4,4,0,0
beta=3.0,3.0,30,2,13,8,8,0,0
beta=3.0,3.0,30,3,25,12,12,0,0
beta=3.0,3.0,30,4,41,16,16,0,0
beta=3.0,3.0,30,5,61,20,20,0,0
beta=3.0,3.0,30,6,85,24,24,0,0
beta=3.0,3.0,30,7,113,28,28,0,0
beta=3.0,3.0,30,8,145,32,32,0,0
beta=3.0,3.0,30,9,181,36,36,0,0
beta=3.0,3.0,30,10,221,40,40,0,0
beta=3.0,3.0,30,11,265,44,44,0,0
beta=3.0,3.0,30,12,314,49,48,1,0
beta=3.0,3.0,30,13,370,56,56,0,0
beta=3.0,3.0,30,14,434,64,64,0,0
beta=3.0,3.0,30,15,506,72,72,0,0
beta=3.0,3.0,30,16,587,81,80,1,0
beta=3.0,3.0,30,17,682,95,89,5,1
beta=3.0,3.0,30,18,813,131,109,18,4
beta=3.0,3.0,30,19,1588,775,161,600,14
beta=3.0,3.0,30,20,17486,15898,756,14355,787
beta=3.0,3.0,30,21,365753,348267,1083,339484,7700
beta=3.0,3.0,30,22,1000000,634247,464,455119,178664
beta=3.5,3.5,30,0,1,1,1,0,0
beta=3.5,3.5,30,1,5,4,4,0,0
beta=3.5,3.5,30,2,13,8,8,0,0
beta=3.5,3.5,30,3,25,12,12,0,0
beta=3.5,3.5,30,4,41,16,16,0,0
beta=3.5,3.5,30,5,61,20,20,0,0
beta=3.5,3.5,30,6,85,24,24,0,0
beta=3.5,3.5,30,7,113,28,28,0,0
beta=3.5,3.5,30,8,145,32,32,0,0
beta=3.5,3.5,30,9,181,36,36,0,0
beta=3.5,3.5,30,10,221,40,40,0,0
beta=3.5,3.5,30,11,265,44,44,0,0
beta=3.5,3.5,30,12,313,48,48,0,0
beta=3.5,3.5,30,13,365,52,52,0,0
beta=3.5,3.5,30,14,421,56,56,0,0
beta=3.5,3.5,30,15,481,60,60,0,0
beta=3.5,3.5,30,16,545,64,64,0,0
beta=3.5,3.5,30,17,613,68,68,0,0
beta=3.5,3.5,30,18,685,72,72,0,0
beta=3.5,3.5,30,19,761,76,76,0,0
beta=3.5,3.5,30,20,842,81,80,1,0
beta=3.5,3.5,30,21,930,88,88,0,0
beta=3.5,3.5,30,22,1026,96,96,0,0
