graph,beta,r,round,active,new,new_local,new_global,new_both
beta=2.1,2.1,30,0,1,1,1,0,0
beta=2.1,2.1,30,1,5,4,4,0,0
beta=2.1,2.1,30,2,13,8,8,0,0
beta=2.1,2.1,30,3,25,12,12,0,0
beta=2.1,2.1,30,4,41,16,16,0,0
beta=2.1,2.1,30,5,69,28,20,8,0
beta=2.1,2.1,30,6,139,70,56,14,0
beta=2.1,2.1,30,7,463,324,148,176,0
beta=2.1,2.1,30,8,345261,344798,746,343854,198
beta=2.1,2.1,30,9,999892,654631,48138,120584,485909
beta=2.1,2.1,30,10,1000000,108,68,0,40
beta=2.5,2.5,30,0,1,1,1,0,0
beta=2.5,2.5,30,1,5,4,4,0,0
beta=2.5,2.5,30,2,13,8,8,0,0
beta=2.5,2.5,30,3,25,12,12,0,0
beta=2.5,2.5,30,4,41,16,16,0,0
beta=2.5,2.5,30,5,61,20,20,0,0
beta=2.5,2.5,30,6,87,26,24,2,0
beta=2.5,2.5,30,7,124,37,36,1,0
beta=2.5,2.5,30,8,181,57,52,5,0
beta=2.5,2.5,30,9,278,97,88,9,0
beta=2.5,2.5,30,10,492,214,160,54,0
beta=2.5,2.5,30,11,28990,28498,438,28050,10
beta=2.5,2.5,30,12,890044,861054,42349,755895,62810
beta=2.5,2.5,30,13,1000000,109956,8693,27,101236
beta=2.7,2.7,30,0,1,1,1,0,0
beta=2.7,2.7,30,1,5,4,4,0,0
beta=2.7,2.7,30,2,13,8,8,0,0
beta=2.7,2.7,30,3,25,12,12,0,0
beta=2.7,2.7,30,4,41,16,16,0,0
beta=2.7,2.7,30,5,61,20,20,0,0
beta=2.7,2.7,30,6,85,24,24,0,0
beta=2.7,2.7,30,7,114,29,28,1,0
beta=2.7,2.7,30,8,151,37,36,1,0
beta=2.7,2.7,30,9,202,51,48,3,0
beta=2.7,2.7,30,10,274,72,72,0,0
beta=2.7,2.7,30,11,374,100,96,4,0
beta=2.7,2.7,30,12,524,150,136,14,0
beta=2.7,2.7,30,13,1099,575,232,343,0
beta=2.7,2.7,30,14,37300,36201,1664,34502,35
beta=2.7,2.7,30,15,847828,810528,60818,681265,68445
beta=2.7,2.7,30,16,1000000,152172,13292,122,138758
beta=3.0,3.0,30,0,1,1,1,0,0
beta=3.0,3.0,30,1,5,4,4,0,0
beta=3.0,3.0,30,2,13,8,8,0,0
beta=3.0,3.0,30,3,25,12,12,0,0
beta=3.0,3.0,30,4,41,16,16,0,0
beta=3.0,3.0,30,5,61,20,20,0,0
beta=3.0,3.0,30,6,85,24,24,0,0
beta=3.0,3.0,30,7,113,28,28,0,0
beta=3.0,3.0,30,8,145,32,32,0,0
beta=3.0,3.0,30,9,181,36,36,0,0
beta=3.0,3.0,30,10,221,40,40,0,0
beta=3.0,3.0,30,11,265,44,44,0,0
beta=3.0,3.0,30,12,313,48,48,0,0
beta=3.0,3.0,30,13,365,52,52,0,0
beta=3.0,3.0,30,14,423,58,56,2,0
beta=3.0,3.0,30,15,491,68,68,0,0
beta=3.0,3.0,30,16,573,82,80,2,0
beta=3.0,3.0,30,17,675,102,100,2,0
beta=3.0,3.0,30,18,807,132,128,4,0
beta=3.0,3.0,30,19,997,190,172,18,0
beta=3.0,3.0,30,20,1693,696,288,408,0
beta=3.0,3.0,30,21,13878,12185,2026,10151,8
beta=3.0,3.0,30,22,299877,285999,37530,242921,5548
beta=3.0,3.0,30,23,999926,700049,80975,194533,424541
beta=3.0,3.0,30,24,1000000,74,14,0,60
beta=3.5,3.5,30,0,1,1,1,0,0
beta=3.5,3.5,30,1,5,4,4,0,0
beta=3.5,3.5,30,2,13,8,8,0,0
beta=3.5,3.5,30,3,25,12,12,0,0
beta=3.5,3.5,30,4,41,16,16,0,0
beta=3.5,3.5,30,5,61,20,20,0,0
beta=3.5,3.5,30,6,85,24,24,0,0
beta=3.5,3.5,30,7,113,28,28,0,0
beta=3.5,3.5,30,8,145,32,32,0,0
beta=3.5,3.5,30,9,181,36,36,0,0
beta=3.5,3.5,30,10,221,40,40,0,0
beta=3.5,3.5,30,11,265,44,44,0,0
beta=3.5,3.5,30,12,314,49,48,1,0
beta=3.5,3.5,30,13,370,56,56,0,0
beta=3.5,3.5,30,14,434,64,64,0,0
beta=3.5,3.5,30,15,506,72,72,0,0
beta=3.5,3.5,30,16,587,81,80,1,0
