local_graph,global_graph,r,round,active,new,new_local,new_global,new_both
inf-roadNet-CA,soc-delicious,1,0,1,1,1,0,0
inf-roadNet-CA,soc-delicious,1,1,6,5,2,3,0
inf-roadNet-CA,soc-delicious,1,2,350,344,13,330,1
inf-roadNet-CA,soc-delicious,1,3,18999,18649,784,17814,51
inf-roadNet-CA,soc-delicious,1,4,204795,185796,27744,146544,11508
inf-roadNet-CA,soc-delicious,1,5,492677,287882,71484,121959,94439
inf-roadNet-CA,soc-delicious,1,6,535887,43210,17170,3803,22237
inf-roadNet-CA,soc-delicious,1,7,536108,221,106,3,112
inf-roadNet-CA,soc-delicious,3,0,1,1,1,0,0
inf-roadNet-CA,soc-delicious,3,1,3,2,2,0,0
inf-roadNet-CA,soc-delicious,3,2,7,4,4,0,0
inf-roadNet-CA,soc-delicious,3,3,15,8,8,0,0
inf-roadNet-CA,soc-delicious,3,4,27,12,12,0,0
inf-roadNet-CA,soc-delicious,3,5,40,13,11,2,0
inf-roadNet-CA,soc-delicious,3,6,65,25,20,5,0
inf-roadNet-CA,soc-delicious,3,7,141,76,45,31,0
inf-roadNet-CA,soc-delicious,3,8,782,641,161,478,2
inf-roadNet-CA,soc-delicious,3,9,8894,8112,1436,6578,98
inf-roadNet-CA,soc-delicious,3,10,55011,46117,15720,28185,2212
inf-roadNet-CA,soc-delicious,3,11,159223,104212,66398,31146,6668
inf-roadNet-CA,soc-delicious,3,12,291422,132199,109425,16813,5961
inf-roadNet-CA,soc-delicious,3,13,396385,104963,94079,6382,4502
inf-roadNet-CA,soc-delicious,3,14,451685,55300,53354,890,1056
inf-roadNet-CA,soc-delicious,3,15,478929,27244,27040,126,78
inf-roadNet-CA,soc-delicious,3,16,495486,16557,16547,6,4
inf-roadNet-CA,soc-delicious,3,17,507134,11648,11644,1,3
inf-roadNet-CA,soc-delicious,3,18,515750,8616,8616,0,0
inf-roadNet-CA,soc-delicious,3,19,522030,6280,6280,0,0
inf-roadNet-CA,soc-delicious,3,20,526557,4527,4527,0,0
